account_id,company_name,official_website,industry,country_region,target_buyer_role,recommended_first_offer,pain_hypothesis,trigger_reason_to_contact,likely_data_workflow,governance_security_angle,suggested_discovery_cta,lead_score,verification_status,next_action
T011,Tata AIG General Insurance,https://www.tataaig.com/,BFSI / Insurance AI,India,"Claims Head; Underwriting Head; Digital Transformation Head; Compliance Head",45-Day Claims / Underwriting AI Pilot after readiness check,"Claims and policy servicing workflows may benefit from document intelligence and decision-support summaries","Large insurer with claims, underwriting, and policy workflows","Sample claims; policy documents; customer service notes; evidence checklists","Regulated decision support; auditability; privacy","Identify one claims or underwriting queue for sample-data pilot",84,"Official website HTTP 200 verified","Verify buyer role and official contact path"
T012,Bajaj Allianz General Insurance,https://www.bajajallianz.com/,BFSI / Insurance AI,India,"Claims Head; Digital Transformation Head; CIO/CTO; Compliance Head",BFSI / Insurance AI Readiness Assessment,"High-volume claims, customer service, and policy support workflows create decision-support opportunities","Insurance operations and document-heavy workflows","Sample claims; policy documents; customer service records","Audit trail; explainability; human approval","Assess one claims triage or customer-service knowledge workflow",83,"Official website HTTP 200 verified","Verify public role/contact route"
T013,Kotak Mahindra Bank,https://www.kotak.com/,BFSI / Insurance AI,India,"CIO/CTO; Compliance Head; Operations Head; Fraud/Risk Analytics Head",Responsible AI Governance Review or BFSI AI Readiness Assessment,"Compliance evidence, audit readiness, service knowledge, and fraud/risk review require governed AI support","Large regulated financial institution with compliance-heavy workflows","Policy documents; compliance evidence; service requests; audit artifacts","Model risk; regulated decision controls; data privacy; auditability","Assess one compliance evidence or customer-service knowledge workflow",82,"Official website HTTP 200 verified","Verify public buyer role and official contact path"
T014,Axis Bank,https://www.axisbank.com/,BFSI / Insurance AI,India,"CIO/CTO; Compliance Head; Operations Head; Risk Analytics Head",Responsible AI Governance Review,"Compliance, audit, fraud/risk review, and customer service document workflows require secure decision support","Large bank with regulated workflows and likely AI governance needs","Compliance documents; policy evidence; service knowledge base; audit artifacts","Model risk; audit trail; human approval; privacy controls","Define one governed AI decision-support use case for readiness scoring",82,"Official website HTTP 200 verified","Verify buyer role from official/public source"
T015,Tata Steel,https://www.tatasteel.com/,Manufacturing AI,India / Global,"Plant Head; Manufacturing Operations Head; Maintenance Head; Digital Transformation Head",Manufacturing AI Readiness Assessment,"Asset reliability, maintenance, quality, safety, and plant productivity workflows may benefit from predictive maintenance","Large asset-intensive manufacturer","Maintenance history; sensor/historian data; downtime records; quality records","OT/IT security; read-only analytics; human approval; no direct equipment control","Assess one asset group or plant workflow for predictive maintenance readiness",88,"Official website HTTP 200 verified","Verify plant/digital operations buyer role"
T016,Mahindra Group,https://www.mahindra.com/,Manufacturing AI,India / Global,"Manufacturing Operations Head; Quality Head; Digital Transformation Head; CIO/CTO",Manufacturing AI Readiness Assessment,"Manufacturing operations, quality, maintenance, and inspection workflows may support high-ROI AI pilots","Large manufacturer with multiple operational workflows","Quality inspection data; maintenance records; production logs; sensor data","Secure plant data handling; reviewer workflow; no unsafe automation","Identify one line, asset, or quality workflow for readiness scoring",86,"Official website HTTP 200 verified","Verify relevant manufacturing/digital buyer role"
T017,Larsen & Toubro,https://www.larsentoubro.com/,Manufacturing AI,India / Global,"Manufacturing Operations Head; Digital Transformation Head; CIO/CTO; Quality Head",Manufacturing AI Readiness Assessment,"Engineering, fabrication, asset, and quality workflows may benefit from AI readiness and secure platform scoping","Large engineering/manufacturing organization with complex operations","Maintenance records; project documents; inspection records; quality reports","IP protection; secure platform; human review; auditability","Select one manufacturing/quality workflow for pilot feasibility review",84,"Official website HTTP 200 verified","Verify business unit and buyer role"
T018,Bharat Forge,https://www.bharatforge.com/,Manufacturing AI,India / Global,"Plant Head; Maintenance Head; Quality Head; Manufacturing Operations Head",45-Day Predictive Maintenance Pilot after readiness check,"Asset-intensive manufacturing and quality workflows may benefit from predictive maintenance and inspection analytics","Manufacturing operations with likely equipment reliability and quality needs","Equipment maintenance; downtime; quality inspection; production logs","Read-only plant analytics; OT security; human reviewer approval","Assess one critical asset group or inspection workflow",83,"Official website HTTP 200 verified","Verify plant operations contact route"
T019,Maruti Suzuki India,https://www.marutisuzuki.com/,Manufacturing AI,India,"Manufacturing Operations Head; Quality Head; Maintenance Head; Digital Transformation Head",Manufacturing AI Readiness Assessment,"High-volume automotive manufacturing can benefit from inspection support, downtime analysis, and OEE visibility","Large automotive manufacturer with high-volume plant workflows","Quality inspection samples; maintenance history; production and downtime records","OT/IT controls; human approval; no production write-back in pilot","Identify one inspection or maintenance workflow for 45-day pilot readiness",82,"Official website HTTP 200 verified","Verify buyer role and official contact path"
T020,TVS Motor Company,https://www.tvsmotor.com/,Manufacturing AI,India / Global,"Manufacturing Operations Head; Quality Head; Maintenance Head; Digital Transformation Head",Manufacturing AI Readiness Assessment,"Automotive production, quality, and maintenance workflows may benefit from AI-assisted inspection and predictive maintenance","Large automotive manufacturer with measurable manufacturing workflows","Production data; inspection samples; equipment maintenance history","Secure plant data; read-only pilot; reviewer workflow","Score one quality or maintenance workflow for pilot feasibility",81,"Official website HTTP 200 verified","Verify buyer role from official/public source"
